(85.3268521, 27.7376574)
(85.3537421, 27.7119165)
(85.4720462, 27.6638203)
(85.2959123, 27.7157706)
(85.3238117, 27.7201228)
(85.3324199, 27.6967502)
(85.352958, 27.7232291)
(85.2705465, 27.6840914)
(85.329515, 27.7222278)
(85.2795656, 27.7176148)
(85.3182747, 27.6647504)
(85.327951, 27.7225942)
(85.3335045, 27.6980968)
(85.4031578, 27.6569397)
(85.3221977, 27.6509218)
(85.2802615, 27.6910255)
(85.263816, 27.6859024)
(85.3568287, 27.7221447)
(85.3489169, 27.7233423)
(85.4296324, 27.6768269)
(85.3319622, 27.6418779)
(85.3386565, 27.6845984)
(85.3037925, 27.7512628)
(85.3256208, 27.6439243)
(85.2927436, 27.7294712)
(85.3775353, 27.6538042)
(85.3369615, 27.7119493)
(85.4365407, 27.6777359)
(85.3695309, 27.6911903)
(85.2970742, 27.7051616)
(85.3086308, 27.736216)
(85.3131245, 27.739787)
(85.3339314, 27.7048566)
(85.3127856, 27.6626281)
(85.4031473, 27.6592478)
(85.3650494, 27.6826993)
(85.3600985, 27.7700453)
(85.3388005, 27.6475511)
(85.3769026, 27.6876883)
(85.4051576, 27.6971222)
(85.3315101, 27.686449)
(85.2676809, 27.6496931)
(85.3605909, 27.7239836)
(85.2880984, 27.7332908)
(85.2710534, 27.7015738)
(85.4241675, 27.6582249)
(85.2736508, 27.6689617)
(85.3234853, 27.7525044)
(85.4387996, 27.7688639)
(85.2948903, 27.6918767)
(85.4000905, 27.6516345)
(85.3494275, 27.6747328)
(85.3382854, 27.6704421)
(85.3867237, 27.7095986)
(85.3542565, 27.6727887)
(85.320201, 27.6721861)
(85.2959214, 27.6528676)
(85.322973, 27.7448543)
(85.3010325, 27.6494977)
(85.3216198, 27.653926)
(85.35424, 27.7531038)
(85.3244644, 27.6947016)
(85.3253162, 27.6860522)
(85.3368053, 27.7101219)
(85.2960491, 27.7279972)
(85.3726704, 27.706169)
(85.4669041, 27.7167511)
(85.4662593, 27.67471)
(85.3733557, 27.642879)
(85.4634307, 27.6391392)
(85.3151788, 27.7438548)
(85.4733676, 27.7174771)
(85.3391031, 27.7350656)
(85.3658491, 27.6973464)
(85.3394288, 27.7339624)
(85.3224107, 27.7246863)
(85.3405273, 27.6815353)
(85.3475229, 27.724344)
(85.3170326, 27.765918)
(85.4588553, 27.643873)
(85.3086313, 27.7454145)
(85.307273, 27.6494212)
(85.3451557, 27.6497521)
(85.3069496, 27.6482211)
(85.3461238, 27.6434964)
(85.3400621, 27.7431645)
(85.4671708, 27.7682965)
(85.2968021, 27.7335127)
(85.3717004, 27.7215083)
(85.3379083, 27.7082735)
(85.3051146, 27.7192935)
(85.4613971, 27.649564)
(85.3432472, 27.6547366)
(85.4036862, 27.7126117)
(85.4001603, 27.6771278)
(85.3853975, 27.7030092)
(85.4095855, 27.7436932)
(85.3074333, 27.7155887)
(85.4636257, 27.6411018)
(85.3686207, 27.7648676)
(85.2963495, 27.723984)
(85.3546903, 27.6726713)
(85.3074476, 27.6683175)
(85.3487016, 27.7336393)
(85.260807, 27.7307709)
(85.3670213, 27.6931034)
(85.360606, 27.746916)
(85.2886894, 27.6965015)
(85.2705775, 27.6902302)
(85.3581141, 27.7131778)
(85.335043, 27.6816936)
(85.3827034, 27.7064653)
(85.3172525, 27.6678125)
(85.3423506, 27.6848957)
(85.3040828, 27.6910569)
(85.4020773, 27.6830707)
(85.3616643, 27.7664166)
(85.374148, 27.7336998)
(85.3503398, 27.7293885)
(85.3263983, 27.6898207)
(85.3611693, 27.6962598)
(85.3334837, 27.7326506)
(85.3270595, 27.7296512)
(85.350702, 27.7062489)
(85.4161553, 27.7520977)
(85.3237104, 27.6405268)
(85.323598, 27.7210128)
(85.4557022, 27.7356154)
(85.2954892, 27.7270753)
(85.3550357, 27.7317109)
(85.3932552, 27.7191986)
(85.3405269, 27.6978324)
(85.30476, 27.6844809)
(85.3066827, 27.6751172)
(85.2780929, 27.7273331)
(85.3373618, 27.7005751)
(85.3051287, 27.6481694)
(85.2805369, 27.6748117)
(85.3277895, 27.7281112)
(85.3748325, 27.7196008)
(85.3453683, 27.6812985)
(85.3867672, 27.6389768)
(85.3652232, 27.7512659)
(85.3170878, 27.7288309)
(85.3276534, 27.7449356)
(85.3745665, 27.7321488)
(85.3067463, 27.7066368)
(85.2884246, 27.7384178)
(85.4655682, 27.7538134)
(85.3506199, 27.7701664)
(85.3392264, 27.6522883)
(85.3409179, 27.688204)
(85.3382068, 27.71777)
(85.3333758, 27.6619003)
(85.3219038, 27.7453839)
(85.3098249, 27.6995692)
(85.2851634, 27.7066386)
(85.3300537, 27.7142564)
(85.4122231, 27.6620667)
(85.2873143, 27.7393352)
(85.3255471, 27.6762784)
(85.3033516, 27.7614758)
(85.3568367, 27.7618925)
(85.364727, 27.7143193)
(85.2982754, 27.7429778)
(85.4534709, 27.7095808)
(85.2780356, 27.7139958)
(85.3475667, 27.6653267)
(85.3424765, 27.6858043)
(85.3852579, 27.7225547)
(85.2834865, 27.736202)
(85.3833837, 27.6839217)
(85.3104349, 27.6926092)
(85.3703877, 27.7267036)
(85.3253754, 27.7257767)
(85.3287166, 27.6994094)
(85.2896532, 27.712979)
(85.288687, 27.7308395)
(85.3659863, 27.750992)
(85.360588, 27.6673341)
(85.3375803, 27.7258504)
(85.4560272, 27.6888149)
(85.3580107, 27.7640749)
(85.2641533, 27.6974266)
(85.3849847, 27.6629772)
